Status,Taker,Name,Notes,Agency,DocType,Id
審查中,邱景昆,第二高速公路後續計畫環境影響評估報告(新竹-南投段)南投服務區第2次變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030064A
審查中,林亞蓁,福誼企業股份有限公司甲級廢棄物處理機構環境說明書第二次變更內容對照表,,苗栗縣,變更內容對照表,1030064F
不同意變更,陳心怡,新竹縣新埔鎮自強自辦農村社區土地重劃區開發計畫(替代方案),,新竹縣,差異分析報告,1030063E
通過審查…,周韋儒,研華股份有限公司林口園區擴建工程環境影響說明書,,桃園縣,說明書,1030061D
審查中,陳靖玟,國道十號燕巢交流道延伸高46線銜接186甲線道路工程案開發計畫環境影響說明書,,高雄市,說明書,1030061X
審查中,姜樹成,臺中市龍井區藝術段687地號等11筆土地檢討變更為鄉村區乙種建築用地及適當用地案環境影響說明書變更內容對照表,,臺中市,變更內容對照表,1030054T
審查中,陳心怡,竹東科技商務服務專用區開發案環境影響差異分析報告(第三次變更),,新竹縣,差異分析報告,1030053E
審查中,林亞蓁,長信環保工程有限公司乙級廢棄物處理場處理許可量能擴增計畫環境影響說明書,,苗栗縣,說明書,1030051F
審查中,張舜華,燁民實業股份有限公司熱理廠環境影響說明書,,高雄市,說明書,1030051X
審查中,邱景昆,離島式基礎工業區石化工業綜合區長春關係企業麥寮廠(醋酸/醋酸酐製程緊急安全排放管道之功能與定位)變更內容對照表,本書件為修訂本,環保署,變更內容對照表,1030044A
審查中,黃巧雯,東華大學同仁安居住宅開發計畫第四次變更內容對照表,,花蓮縣,變更內容對照表,1030044P
審查中,高千惠,臺中市污水下水道系統整體規劃環境影響說明書變更內容對照表,,臺中市,變更內容對照表,1030044T
審核修正…,王智弘,高雄市南區資源回收廠(仁武垃圾資源回收廠)環境影響評估報告書變更內容對照表,,高雄市,變更內容對照表,1030044X
審查中,洪明宏,臺北文化體育園區整體規劃案-體育園區第二次環境影響差異分析報告,本書件為初稿本(尚未定稿),臺北市,差異分析報告,1030043W
審查中,陳心怡,致茂品業環保科技股份有限公司乙級廢棄物處理廠開發計畫,未定稿,新竹縣,說明書,1030041E
審查中,林亞蓁,裕隆三義二廠興建案環境影響說明書,,苗栗縣,說明書,1030041F
審核修正…,陳心怡,竹北市世興段52、54地號2筆土地綜合大樓新建工程,,新竹縣,變更內容對照表,1030034E
審核修正…,林亞蓁,寶源科技工業園區環境影響變更內容對照表(第4次),,苗栗縣,變更內容對照表,1030034F
審查中,黃巧雯,花蓮環保科技園區開發工程計畫第2次變更內容對照表,,花蓮縣,變更內容對照表,1030034P
審查中,鄭伊利,泛喬股份有限公司「高雄義大皇冠假日飯店開發計畫」變更內容對照表,,高雄市,變更內容對照表,1030034X
審查中,陳彥男,臺中都會區大眾捷運系統烏日文心北屯線第二次環境影響差異分析報告,本書件為確認本,環保署,差異分析報告,1030033A
審查中,周韋儒,廣豐工商綜合專用區開發計畫環境影響差異分析報告,,桃園縣,差異分析報告,1030033D
審核修正…,姜樹成,輔祥實業股份有限公司永豐廠擴建計畫變更環境影響說明書環境影響差異分析報告(初稿),定稿本,臺中市,差異分析報告,1030033T
審查中,洪明宏,臺北文化體育園區整體規劃案-文化園區環境影響差異分析報告(第二次),本書件為初稿本(尚未定稿),臺北市,差異分析報告,1030033W
審查中,陳渤丰,財團法人玉山寶光聖堂擴建計畫環境影響差異分析暨環境現況差異分析及對策檢討報告,,臺南市,其他,1030028V
審核修正…,陳心怡,新竹縣橫山鄉內灣農村土地重劃環境影響說明書第一次變更內容對照表,未定稿,新竹縣,變更內容對照表,1030024E
審核修正…,王妍方,楊昇建設中正區域城中段開發計畫,,臺北市,變更內容對照表,1030024W
審核修正…,周韋儒,堡富興業股份有限公司乙級廢棄物處理機構擴增處理量第一次環境影響差異分析報告,,桃園縣,差異分析報告,1030023D
審查中,黃巧雯,花蓮廠更新計畫第三次環境影響差異分析報告,,花蓮縣,差異分析報告,1030023P
審查中,姜樹成,輔德高分子股份有限公司產能增設計畫環境影響說明書第二次環境影響差異分析報告(修正稿),定稿本,臺中市,差異分析報告,1030023T
審核修正…,周復仁,中鋼公司第四階段擴建計畫及非方向性矽鋼片投資計畫環境影響差異分析報告(102年第2次變更),,高雄市,差異分析報告,1030023X
審查中,吳聰鈐,宜蘭縣冬山鄉武淵農村社區土地重劃,,宜蘭縣,說明書,1030021C
審查中,賴易正,苑裡廣源科技工業園區開發案環境影響說明書,,苗栗縣,說明書,1030021F
審查中,李正怡,全球人壽-新竹市光武段143、1002地號商業大樓、集合住宅新建工程,,新竹市,說明書,1030021S
徵詢意見…,陳彥男,新北市區域計畫政策評估說明書,本書件為初稿本,環保署,政策評估說明書,1030020A
審查中,洪明宏,克緹信義大樓新建工程環境影響說明書第五次變更內容對照表(第七次變更),,臺北市,變更內容對照表,1030014W
審查中,陳彥男,新竹科學工業園區四期擴建用地竹南科學園區變更計畫暨其擴建計畫第四次環境影響差異分析報告,本書件為修訂本,環保署,差異分析報告,1030013A
審查中,林亞蓁,長春石油化學苗栗廠及苗栗二廠整體暨擴建計畫第2次環境影響差異分析報告,,苗栗縣,差異分析報告,1030013F
審查中,歐玲珠,久明企業有限公司「土石碎解洗選場第一次環境差異分析報告」,,臺東縣,差異分析報告,1030013O
審查中,莊惠如,「麗源建設基隆培德路住宅社區建築計畫」第六次環境影響差異分析報告,,基隆市,差異分析報告,1030013R
審核修正…,潘忠政,臺灣蘭花生物科技園區第1～5期環境影響差異分析報告,,臺南市,差異分析報告,1030013V
審核修正…,蔡秀美,高雄市鼓山區龍中段96等10筆地號辦公室、集合住宅新建工程環境影響差異分析報告,,高雄市,差異分析報告,1030013X
進入二階…,吳聰鈐,綠海包裝利澤工廠興建計畫,說明書件為初稿,宜蘭縣,說明書,1030011C
審查中,陳心怡,台1線替代道路(新豐~新竹公道三、四)工程環境影響說明書,未定稿,新竹縣,說明書,1030011E
審查中,何奇峰,芬園鄉第二座納骨塔興建計畫環境影響說明書,,彰化縣,說明書,1030011H
有條件通…,黃巧雯,花蓮縣花蓮市明義段398地號複合式商場及酒店開發計畫,定稿本,花蓮縣,說明書,1030011P
審查中,李正怡,探索新舍商旅環境影響說明書,,新竹市,說明書,1030011S
審查中,商維庭,萬達鑛業股份有限公司臺濟採字第5310號申請核定及更正核定礦業用地,本書件為初稿本；補正期限：103年5月31日。,環保署,說明書,1021621A
其他,邱景昆,六輕四期擴建計畫環境影響調查報告書-生物毒性試驗之檢測計畫,,環保署,其他,1021618A
審查中,張同婉,北部液化天然氣接收站第二期計畫第一次變更暨原新建計畫第四次變更環境影響差異分析報告,本書件為確認本,環保署,差異分析報告,1021573A
審核修正…,邱景昆,國家生技研究園區開發計畫環境影響說明書變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021564A
審核修正…,邱景昆,臺北都會區環河快速道路臺北縣側計畫營運監測變更內容對照表,此書件為定稿本,環保署,變更內容對照表,1021544A
審核修正…,邱景昆,湖山水庫下游自來水工程-前處理設備及湖山淨水場環境影響說明書變更內容對照表,本書件為定稿本,環保署,變更內容對照表,1021534A
審查中,劉馥萱,北宜高速公路工程環境影響評估報告第9次環境影響差異分析報告(頭城交流道增設上下匝道改善工程),本書件為確認本,環保署,差異分析報告,1021523A
審查中,張同婉,南部補給油料庫海用油池增建暨壽山作業組油管汰換工程,本書件為初稿本,環保署,說明書,1021511A
